patentnummer,klass,IPC,patenthavare_antal,patenthavare1,patenthavare1_adress,patenthavare1_stad,patenthavare1_land,patenthavare_typ,patenthavare_typ_av_skrivet,ombud,ombud_adress,patenttid_fr,patenttid_till,beviljandedatum,utgångsdatum,utgångsår,utgångsskäl,ansökingsnr,sistaerlagdapatentåravgifter_datum,sistaerlagdapatentåravgifter_belopp,sistaerlagdapatentåravgifter_text,sista_aviserat_datum,sista_aviserat_år,uppfinningensbenämning,uppfinningensbenämning_typ,uppfinnare_antal,uppfinnare1,uppfinnare2,prioritet,prioritetsdatum,prioritetsnummer,prioritetsland,patentöverföring,licensupplåtelse,tilläggspatent,ombudsbyte,uppfinnare3,ansökingsdatum,uppfinnare1_stad,överföringsdatum,tidigare_patenthavare,tidigare_patenthavare_address,tidigare_patenthavare_stad,tidigare_patenthavare_land,tidigare_ombud,ombudsbytesdatum,tilläggspatentnummer,patenthavare2,patenthavare2_adress,patenthavare2_stad,patenthavare2_land,patenthavare3,patenthavare3_stad,patenthavare3_land,uppfinnare4,uppfinnare1_adress,uppfinnare1_land,uppfinnare2_adress,uppfinnare2_stad,uppfinnare2_land,ansökningen_utlagd_den_patentkravsigifterna,potential_wrong_expiration_date
160015,,,1,N.V. Philips' Gloeilampenfabrieken,Eindhoven,Eindhoven,Nederländerna,company,typed,Ingenjören S. Åkesson,Stockholm,1955-07-30,1972-07-31,1957-06-05,1970-02-23,1970,Lack of payment of fees,7012/1955,1968-06-24,550.00,24-JUN-68 0665 14 160015 2 550.00,1969-08-15,1969.0,Slaggbildande kropp för användning vid bultsvetsning.,typed,2,W.P. van den Blink,E.H. Ettema,TRUE,1954-08-03,,Nederländerna.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
359016,,A01G 23/08,1,Brundell och Jonsson AB,"Gävle, SW",Gävle,SW,company,typed,S Modin m. fl.,,1972-06-19,1989-06-20,1973-11-29,1980-01-10,1980,Lack of payment of fees,8067/72,1978-05-19,400.00,"19MAI, *16554, *7359016 *****, 400.00",1979-07-30,1979.0,Trädfällningsanordning,typed,1,A. Mätlik,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
372046,E 01 c 7/32,E 01 c 7/32,1,E.I. du de Nemours and Co.,"Wilmington, Del.",Wilmington,US,company,typed,Larfeldt m. fl.,,1969-10-29,1986-10-29,1975-03-20,1982-05-05,1982,Lack of payment of fees,6914790-8,1980-09-15,1000.00,15SEP 2 15179 ********* 12372046 ********* 1.000.00,1981-11-17,1981.0,Flerskiktstruktur,typed,3,"R H Barton, Ridgewood, N.J.","M L Brown, Elkton, Md.",TRUE,1968-10-30,771993,US,FALSE,FALSE,FALSE,FALSE,"A Mitchell, Newark, Del.",,,,,,,,,,,,,,,,,,,,,,,,,0
190090,,,1,Fabrikör Karl Erik Nilsson,Lidingö,Lidingö,Sverige,individual,typed,Sköld,,1961-01-19,1978-01-20,1964-01-23,1975-08-11,1975,Lack of payment of fees,506/1961,1974-01-15,550.00,15 JAN 75 18406 14190090 *****550,1975-02-14,1975.0,Lyftanordning för styckeformat material,mixed,1,Patenthavaren,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
349006,B 65 g 1/02,B65G 1/02,1,Palmer-Shile Company,"Detroit, Mich.",Detroit,USA,company,typed,Ferkinghoff,,1970-04-28,1987-04-29,1973-01-04,1985-11-14,1985,Lack of payment of fees,05834/70-2,1984-04-30,1900.00,22FEB e n 22800 *113 9006 ******1000.00,1985-05-09,1985.0,Förvaringsställ,typed,1,"J J O'Dette, Livonia, Mich.",,TRUE,1969-05-01,"820853,854497",USA,FALSE,FALSE,FALSE,TRUE,,,,,Hjärne m. fl.,,,,,,,,,,,,,,,,,,,,,0
361013,B 60 n 1/02,B60N1/02,1,Walter Massmann,"Köln-Lindenthal, DT",Köln,DT,individual,typed,Ström m.fl.,,1969-06-18,1986-06-19,1974-01-24,1977-01-20,1977,Lack of payment of fees,8650/69,1975-04-04,300.00,P-4APR-1030c-7361013-300.00,1976-07-26,1976.0,"Inställningsanordning, i synnerhet för fordonssäten, vilka uppbäres av fordonets golv genom två, såsom en länkfyrhörning arbetande, vippelementpar",typed,2,H Lewer,R Frohnhaus,TRUE,1968-06-20,1755768,DT,FALSE,FALSE,FALSE,FALSE,,,Solingen,,,,,,,,,,,,,,,,,,,,,,,0
359003,H 02 p 5/36,H 02 P 5/36,1,Siemens AG,Berlin och Munchen,Berlin och Munchen,DT,company,typed,Larfeldt m.fl.,,1969-02-06,1986-02-07,1973-11-22,1977-09-12,1977,Lack of payment of fees,1585/69,1976-01-27,350.00,"27 JAN 116386 8359003 350,00",1977-03-10,1977.0,Anordning för fältreglering av en asynkronmaskin,typed,2,F Blaschke,G Hütter,TRUE,1968-02-07,1638650,DT,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
330089,39b5 33/18,C08G 33/18,1,Dynamit Nobel AG,"Troisdorf, Förbundesrepubl. Tyskland DT",Troisdorf,Förbundesrepubl. Tyskland DT,company,typed,Hjärne m.fl.,,1965-10-15,1982-10-16,1971-02-11,1977-05-10,1977,Lack of payment of fees,13423/65,1975-10-14,500.00,14 OKT 1976 - 14777,1976-11-01,1976.0,Sätt att framställa härdbart konstharts genom att i värme kondensera ett cykliskt arylborat med formaldehyd eller formaldehydavgivande substanser,typed,1,F J Huster,,TRUE,1964-10-16,45650,Förbundesrepubliken Tyskland DT,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
226010,,,1,Automotive Products Ltd.,Leamington Spa.,Leamington Spa,Storbritannien,company,typed,Ernerot m.fl.,,1962-12-04,1979-12-05,1968-05-22,1975-07-16,1975,Lack of payment of fees,13068/62,1973-11-12,450.00,12-NOV-68 2403 226010 450.00,1975-01-15,1975.0,Anordning vid skivbromsar,typed,1,L C Chouings,,TRUE,1961-12-05,"43514/61, 13363/62",Storbritannien,TRUE,FALSE,FALSE,FALSE,,,,1974-01-14,Automotive Products Co. Ltd,Leamington Spa,Leamington Spa,Storbritannien,,,,,,,,,,,,,,,,,,0
348078,,H01Q 19/12,1,Western Electric Company,New York,New York,USA,company,typed,Larfeldt m.fl.,,1967-06-30,1984-07-01,1972-11-30,1976-02-15,1976,Lack of payment of fees,9845/67,1975-12-17,450.00,9 JAN 700.00,1977-08-15,1977.0,Satellit-antennsystem,typed,1,L.C. Tillotson,,TRUE,1966-08-25,575006,USA,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
